School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Odisha,Total,55.89,56.43,54.01,74.11,62.85,74.79,80.15,83.8,83.7,82
Upper Primary School,Odisha,Boy,NA,NA,NA,78.82,66.75,79.13,82.83,86.4,85.3,83.3
Upper Primary School,Odisha,Girl,NA,NA,NA,69.21,58.79,70.26,77.34,81.2,82,80.7
Upper Primary School,Puducherry,Total,92,120.27,119.68,108.22,107.13,107.97,111.97,106.2,103.1,103.2
Upper Primary School,Puducherry,Boy,NA,NA,NA,112.96,112.05,114.77,120.61,109.8,105.4,106.8
Upper Primary School,Puducherry,Girl,NA,NA,NA,103.48,102.21,101.39,103.87,102.4,100.8,99.7
Upper Primary School,Punjab,Total,64.88,59.09,60.06,65.42,67.53,69.03,69.09,91.1,73,94
Upper Primary School,Punjab,Boy,NA,NA,NA,63.78,66.16,68.12,70.35,92.2,73.1,95.8
Upper Primary School,Punjab,Girl,NA,NA,NA,67.4,69.19,70.15,67.62,89.6,72.8,91.7
Upper Primary School,Rajasthan,Total,76.19,55.67,61.54,70.67,74.12,79.57,81.36,83.6,84.3,82.4
Upper Primary School,Rajasthan,Boy,NA,NA,NA,84.82,87.27,92.23,92.84,94.8,95,91
Upper Primary School,Rajasthan,Girl,NA,NA,NA,54.8,59.45,65.51,68.65,71.4,72.7,73
Upper Primary School,Sikkim,Total,66.55,65.19,56.75,66.7,74.38,73.22,74.62,85.4,91,78.8
Upper Primary School,Sikkim,Boy,NA,NA,NA,61.5,68.68,67.59,67.63,78,82.9,71.2
Upper Primary School,Sikkim,Girl,NA,NA,NA,72.16,80.35,79.09,81.91,92.9,99,86.6
Upper Primary School,Tamil Nadu,Total,92.57,99.08,100.41,107,106.81,109.21,112.7,112.4,113.2,112.3
Upper Primary School,Tamil Nadu,Boy,NA,NA,NA,109.22,108.49,110.25,114.31,114.1,114.2,113
Upper Primary School,Tamil Nadu,Girl,NA,NA,NA,104.66,105.04,108.12,111,110.7,112.1,111.5
Upper Primary School,Tripura,Total,67.59,71.42,72.84,78.16,82.5,86.25,87.81,102.7,102.7,91.9
Upper Primary School,Tripura,Boy,NA,NA,NA,80.65,82.84,86.33,88.01,103,102.9,92.2
Upper Primary School,Tripura,Girl,NA,NA,NA,75.55,82.15,86.16,87.6,102.4,102.5,91.5
Upper Primary School,Uttar Pradesh,Total,35.91,46.84,48.64,52.43,53.02,53.62,67.82,69.6,70.2,79.9
Upper Primary School,Uttar Pradesh,Boy,NA,NA,NA,57.82,58.74,59.64,71.13,73.2,74.2,84.1
Upper Primary School,Uttar Pradesh,Girl,NA,NA,NA,46.29,46.56,46.89,64.16,65.6,65.9,75.5
Upper Primary School,Uttarakhand,Total,73.71,78.84,80.36,88.08,89.88,92.05,92.78,106.5,104.3,105.8
Upper Primary School,Uttarakhand,Boy,NA,NA,NA,88.23,89.47,91.37,91.15,103.2,101,102.6
Upper Primary School,Uttarakhand,Girl,NA,NA,NA,87.92,90.33,92.79,94.6,110.1,107.9,109.2
Upper Primary School,West Bengal,Total,53.88,58,64.28,66.46,66.71,70.95,71.24,73.5,83.6,86.3
Upper Primary School,West Bengal,Boy,NA,NA,NA,69.43,70.97,70.01,70.24,72.3,80.2,84.6
Upper Primary School,West Bengal,Girl,NA,NA,NA,63.31,62.22,71.93,72.29,74.7,87,88
